  lc        k         e         sdir      sby       sbz       ux        uy        uz        Di        Do        t       
  -         -         -         MPa       MPa       MPa       -         -         -         mm        mm        mm      
        2.        9.      270.  0.21E-01  0.14E-03  0.27E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        2.        9.      271.  0.21E-01  0.11E-02  0.27E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        1.        1.  0.66E+01  0.14E-03  0.25E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        2.       11.  0.66E+01  0.58E-03  0.25E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        3.       21.  0.85E+01  0.28E+00  0.48E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        4.       10.  0.59E+01  0.27E-01  0.48E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        4.       31.  0.51E+01  0.20E+01  0.51E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        4.      181.  0.29E+00  0.29E-01  0.30E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        4.      234.  0.57E+00  0.37E-01  0.62E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        5.       20.  0.59E+01  0.14E-01  0.48E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        5.       81.  0.51E+01  0.34E+01  0.42E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        5.      198.  0.29E+00  0.31E-01  0.30E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        5.      199.  0.57E+00  0.34E-01  0.62E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        6.       30.  0.78E+01  0.53E+01  0.92E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
